,Unnamed: 0,name,latitude,longitude,rating,user_rating_count,reviews,photo_count,area,facilities,Town,description
41,41,North District Sports Ground,22.506311900000004,114.1305155,4.1,866,"Standard LCSD pitch. The home ground of North District Football club, a club competing in the Hong Kong Premier League, the top flight of association football in Hong Kong. Does not allow drums or other noise-making instruments, leading to a very poor atmosphere during HKPL matches. Pitch is not very well maintained, and it seems to be brown and patchy.; No proper seats, decent stand that is close to the pitch.; Beautiful Zoy Coysia natural grass pitch, it is undoubtedly one of the finest grass pitch in HK. However, it’s a pity that the Stadium is lacking a snack canteen or kiosk like other stadiums. Hope they could add one in the future, it is really inconvenient to be without a food counter.",3,Not available via Google Places API,No facility details,Sheung Shui,"North District Sports Ground in Sheung Shui, home to North District Football Club, features a high-quality Zoy Coysia grass pitch for football and other events. While the pitch is well-regarded, the lack of a snack kiosk and proper seating affects the atmosphere during matches."
42,42,Tin Ping Sports Centre,22.503462,114.133505,3.3,151,Old but very clean place. The lcsd service is the best I've ever been to in 6 years in HK.; not bad; old,3,Not available via Google Places API,No facility details,Sheung Shui,"Tin Ping Sports Centre in Sheung Shui is an older but clean facility managed by LCSD, offering various sports options. While praised for its cleanliness and service, its age is noted by some, making it a reliable but less modern community sports hub."
43,43,"North District Park (Basketball, Soccer-cum-Handball Court)",22.5004978,114.1330982,4.1,86,"Just found out that there are two trees(outside the basket ball court)which would change their colors in winter. What a nice surprise☺️; Enjoy play valleyball there; A good place for sports, good equipment, basketball, football, badminton, etc., and toilet",3,Not available via Google Places API,No facility details,Sheung Shui,"North District Park in Sheung Shui offers well-equipped basketball, football, and volleyball courts, with additional amenities like toilets. Locals enjoy its sports facilities and the seasonal beauty of nearby trees, making it a pleasant spot for community activities."
44,44,North District Sports Ground Tennis Courts,22.506594000000003,114.1292109,3.8,21,"A 10-minute walk from Sheung Shui Train Station, next to the sports stadium. Some tennis courts face east and west, so you have to wear sunglasses when playing. Other than that, there is no problem with Da Ao.; There are many parking spaces in the parking lot and parking is very convenient; The equipment is good and the staff is friendly.",3,Not available via Google Places API,No facility details,Sheung Shui,"North District Sports Ground Tennis Courts in Sheung Shui, a 10-minute walk from the train station, provide good equipment and friendly staff. While some courts face sun glare, the convenient parking and quality facilities make it a solid choice for tennis players."
45,45,Fitness Sport Centre,22.504934,114.126757,4.3,4,"Small-ish shop mainly for infirmity support. I would call it a Re-Ha shop. They have the doughnut shaped cushion to sit on, the Zimmer frame, the glucose meter, walking sticks and such. Dumb bells as well. I found what I needed after giving up on the Re-Ha shops in the hospitals.; good 👍; You can buy a lot of medical auxiliary equipment at the Parker Health Equipment Store. The female clerk is very polite and gives detailed introductions. She is a very nice person.",3,Not available via Google Places API,No facility details,Sheung Shui,"Fitness Sport Centre in Sheung Shui is a small shop specializing in infirmity support equipment like Zimmer frames and glucose meters. Described as a rehabilitation-focused store, it’s appreciated for its helpful staff and niche offerings for mobility needs."
46,46,Pak Wo Road Playground (7-a-side Soccer Pitches),22.4963556,114.1296066,4.6,19,"Those who love football will definitely like it!; Convenient parking, but unfortunately no shower; The place is big and suitable for playing football",3,Not available via Google Places API,No facility details,Sheung Shui,"Pak Wo Road Playground in Sheung Shui features spacious 7-a-side soccer pitches, ideal for football enthusiasts. While lacking showers, it offers convenient parking and is praised for its size and suitability for community sports."
47,47,24/7 Fitness Sheung Shui,22.5033607,114.1336576,4.6,74,"Friendly and super convenience. Spotlessly clean and all the equipment machines, free and railed weights you could hope for.
Love it; Nice, clean and spacious gym room. Most importantly, it's hygienic, not crowded and no hard sell. Convenient to go to anytime as well!; good",3,Not available via Google Places API,No facility details,Sheung Shui,"24/7 Fitness Sheung Shui is a clean, spacious gym with a variety of equipment, including free weights and machines. Highly rated for its hygiene, lack of crowds, and no-pressure environment, it’s a convenient, top-choice gym for locals."
48,48,Sheung Shui Swimming Pool,22.5058297,114.131692,3.8,87,"A big swimming pool,often crowded, so far its clean, employees service are okay, near sports center, price is fair; pool. is. so. small. water. slide. is. so. short.; A landmark for mountain bikers wishing to go to Tin Ping Shan.",3,Not available via Google Places API,No facility details,Sheung Shui,"Sheung Shui Swimming Pool is a large, clean outdoor facility with a 50m pool, often crowded with kids’ swim classes. While fairly priced and well-maintained, its small size and short water slide are noted drawbacks, but it’s a landmark for local mountain bikers."
49,49,Marathon Sports (Sheung Shui Centre),22.501197,114.12908,,0,,2,Not available via Google Places API,No facility details,Sheung Shui,"Marathon Sports in Sheung Shui Centre offers sports equipment in a retail setting. With limited feedback, it’s a convenient option for locals seeking sports gear, located within a shopping centre for easy access."
50,50,Po Wing Road Sports Centre Car Park,22.4973349,114.1287999,4.7,6,"Excellent indoor jogging track; Outdoor parking lot, multiple spaces, spacious, with three charging spaces; Reasonable price👍🏻",3,Not available via Google Places API,No facility details,Sheung Shui,"Po Wing Road Sports Centre Car Park in Sheung Shui provides spacious outdoor parking with charging spaces and an indoor jogging track. Reasonably priced and convenient, it’s a practical choice for visitors to the sports centre."
51,51,LEISURE and Cultural Services Department fitness room_sheung shui,22.4970022,114.1283651,2.6,5,"Broken TVs and several pieces of fitness equipment have not been repaired for a long time; The place is large, new and clean, with good ventilation; Don't want to go again",1,Not available via Google Places API,No facility details,Sheung Shui,"The LCSD Fitness Room in Sheung Shui is a large, clean, and well-ventilated space, though some equipment, like TVs, may be broken. Mixed reviews highlight its spaciousness but also dissatisfaction with maintenance, impacting the overall experience."
52,52,Volleyball Court,22.4998026,114.1325066,5.0,2,"A good place for sports, good equipment, basketball, football, badminton, etc., and toilet; Very popular with schools and groups.",3,Not available via Google Places API,No facility details,Sheung Shui,"The Volleyball Court in Sheung Shui is a popular, well-equipped venue for sports like volleyball, basketball, and football, with toilets available. Frequently used by schools and groups, it’s a reliable community hub for active recreation."
53,53,Stone Fitness Studio_上水泰拳瑜伽,22.5033054,114.1286087,4.7,11,"Nice cozy gym/ boxing studio with a small cafe, providing healthy and delicious light meals, coffee and cakes; Nice Place🙃; Good",3,Not available via Google Places API,No facility details,Sheung Shui,"Stone Fitness Studio in Sheung Shui is a cozy gym and boxing studio with a small cafe offering healthy meals. Praised for its friendly atmosphere and delicious light meals, it’s a welcoming spot for fitness and relaxation."
54,54,North District Sports Ground Car Park,22.50722,114.13017,4.5,10,"The place is spacious and has electricity; Nothing special, I don’t drive myself, it’s right next to the sports ground, close to Fengxi Nursing and Attention Home, and very close to Cuili Garden on the other side!; I am not a driver, but I heard that a large truck was on fire, so I took a look out of curiosity!",3,Not available via Google Places API,No facility details,Sheung Shui,"North District Sports Ground Car Park in Sheung Shui is spacious with electric charging options, conveniently located near the sports ground and local estates. While unremarkable, it serves as a practical parking solution for sports visitors."
55,55,Weedper Fitness Club 上水粉嶺泰拳瑜珈健身中心,22.5037051,114.1268903,4.9,13,"Location wise is convenient as it is situated right in front of Mannings. Fit and amiable coaches. 101% for their patience; testimonial from me, person who has terrible coordination. If I have to list out top one treassure I have discovered in Sheung Shui, no doubt it has to be them :); best coach and nice place; Nice coach",3,Not available via Google Places API,No facility details,Sheung Shui,"Weedper Fitness Club in Sheung Shui is a highly rated gym with friendly, patient coaches specializing in Thai boxing and yoga. Located near Mannings, it’s considered a top fitness treasure in the area for its supportive environment."
56,56,LEISURE and Cultural Services Department fitness room - Sheung shui,22.504981,114.130449,3.9,7,"It is a sports venue equipped with various sports facilities. It is a pity that many of them need to be suspended due to the epidemic. Everyone is quarantined, and the whole place needs to be quarantined? ? We hope that normal life and activities can resume everywhere in the world as soon as possible!; Hello from the disciples of Koppanapee.
Hemnithi sees Hong Kong, your city.
I like it.; ",0,Not available via Google Places API,No facility details,Sheung Shui,"The LCSD Fitness Room in Sheung Shui offers various sports facilities, though some were suspended during the epidemic. While appreciated for its potential, the quarantine-related closures have limited its use, with hopes for resumed activities."
57,57,Sheung Shui Public Library,22.5019475,114.1310677,3.8,129,"It's located on the 3rd floor of the government complex (G-1/F wet market, 2nd floor food court). Consider it has only one floor, the size is ok as it also has students self study centre.
The staff I saw was efficient in terms of stopping people from talking on the phone in the library. So overall the place was quiet.; Very nice library on 3rd floor. Quiet, clean, and large English reading section; The worst library I have ever been to! Old equipment, old facilities, stupid policy!",3,Not available via Google Places API,No facility details,Sheung Shui,"Sheung Shui Public Library, located on the 3rd floor of a government complex, is quiet and clean with a large English reading section and study centre. While spacious, some criticize its old equipment and strict policies, making it a mixed experience."
58,58,Wo Hing Sports Centre,22.4846267,114.1432188,3.9,248,"Good selection of sports facilities available for hire at regular and discounted rated. Sports centre common area is generally spacious and staff are helpful and friendly.

American pool table (one only) requires maintenance as soon as possible - cushions are unresponsive and felt plays very slow (i.e. Balls do not roll smoothly on the felt).; Forgotten to took entrance photo, one can walk across the village foot bridge bus stop instead of going to Wah Ming Terminus for same distamce but different atmosphere.; very good",3,Not available via Google Places API,No facility details,Fanling,"Wo Hing Sports Centre in Fanling offers a variety of sports facilities, including a slow-playing American pool table needing maintenance. Spacious and clean with helpful staff, it’s accessible via a village footbridge, making it a community favorite."
59,59,Luen Wo Hui Sports Centre,22.5000821,114.1445879,3.9,270,"When the computer system is down, the staff doesn't know what to do. It is like someone has never been worked there before. I thought the requirement working there, handing in chinese and English at least. The staff was helping me using their phone to find the Chinese words to copy. Since the system is down, they wouldn't find my profile on their system, and asked me to create my profile on the app after 4:30pm today. It just pissed me off.; A rather average sports hub in the Northern District; happiest moment sparing competition",3,Not available via Google Places API,No facility details,Fanling,"Luen Wo Hui Sports Centre in Fanling is an average sports hub with facilities for various activities. While staff efficiency varies, particularly during system issues, it remains a functional community space for sports and events."
60,60,Fanling Recreation Ground 11-a-side Natural Turf Soccer Pitch and Jogging Track,22.4941384,114.1373286,4.8,9,"Many football fields in Hong Kong can be used for different purposes, and this one is no exception. The facilities on the field are well maintained, and it is a great choice for morning exercise and jogging!; A very good natural grass football and jogging track, which can meet the needs of large-scale sports and music performances in the northern area.; It is part of the multi-purpose venue of Fanling Recreation Ground. In addition to playing football, it can also hold different forms of activities. It would be better if there is a track.",3,Not available via Google Places API,No facility details,Fanling,"Fanling Recreation Ground’s 11-a-side Soccer Pitch and Jogging Track is a well-maintained, multi-purpose venue for football, jogging, and events. Praised for its natural grass and suitability for morning exercise, it’s a great choice despite occasional closures for flower vendors."
61,61,Fanling Recreation Ground,22.4940173,114.1375364,3.8,659,"The place is nice but unfortunately it is closed down often during the nice weather winter months when people actually have free time to use it. It is commandeered throughout the Christmas holidays by the flower vendors who take a few days to set up, a week to sell their goods, and then usually take four or five days to take down their stalls - all so people who wouldn't normally set foot in the sports ground can come and buy flowers they could easily buy elsewhere.; Pleasant, clean and well situated close to Fanling MTR.; A good place to take a break. Just seat and relax.",3,Not available via Google Places API,No facility details,Fanling,"Fanling Recreation Ground in Fanling is a pleasant, clean venue near Fanling MTR, ideal for relaxation and sports. While well-situated, it’s often closed during winter for flower vendor events, limiting access for regular users."
62,62,"Fitness Room, Wo Hing Sports Centre",22.484754,114.143138,3.8,4,; ; ,0,Not available via Google Places API,No facility details,Fanling,"The Fitness Room at Wo Hing Sports Centre in Fanling provides basic fitness facilities within a spacious, clean environment. With limited feedback, it’s part of a larger sports centre, offering a convenient workout space for locals."
63,63,Fanling Public Library,22.5001429,114.144386,4.1,176,"This is easily one of the best public libraries i been
Very spacious, almost too big and not enough books
Very cold bring top
Huge study rooms
Enormous kids room
Dozens of computersto use
Hundreds of seats
Hard working security checking u every 5 minutes
Toilet on same floor
Outside main bus stop; Library is quite nice and staff great. The lifts are the dumbest I've seen anywhere and it's a nightmare trying to actually leave the library, unless you want to take the stairs that smells of urine.; The best reading library, where you can find a lot of reference materials and use the computer facilities to study and have a good time.",3,Not available via Google Places API,No facility details,Fanling,"Fanling Public Library is a spacious, modern facility with large study rooms, a kids’ room, and numerous computers. While praised for its size and resources, some note overly vigilant security and a urine-smelling staircase as drawbacks."
64,64,Fanling South Public Library,22.4870852,114.1433285,3.9,45,"The area is quite small. The staff were super nice there even the security was very eager to help me print out my stuff. It was a wonderful experience even though I was there for only 20 minutes!; many new books , quite small; Too small, too less books...",3,Not available via Google Places API,No facility details,Fanling,"Fanling South Public Library is a small but welcoming facility with helpful staff and new books. While appreciated for printing services and friendly service, its limited size and book collection are noted as constraints."
65,65,Fanling Swimming Pool,22.4951138,114.1360832,3.9,476,"Easily accessible by MTR.
Standard 50m outdoor pool. Spacious changing area. Facilities are well-maintained. 👍🏼
Lots of kids taking swim classes.; 17$ for normal entry. Has the usual hairdryer, showers & lockers.; Excellent place for learninnu to swim as it offers grab and go balloting for some classes and if lucky can get a place after 1 or 2 classes begun.",3,Not available via Google Places API,No facility details,Fanling,"Fanling Swimming Pool, accessible by MTR, features a well-maintained 50m outdoor pool and spacious changing areas. Affordable at 17 HKD, it’s popular for swim classes, with grab-and-go balloting for lessons, making it a great learning spot."
