OBJECTID,DATASET_EN,DATASET_TC,NameEN,AddressEN,NameTC,AddressTC,DistrictEN,DistrictTC,FacilityTypeEN,FacilityTypeTC,FacilityDetailsEN,FacilityDetailsTC,OpeningHoursEN,OpeningHoursTC,TelephoneEN,TelephoneTC,FaxNumberEN,FaxNumberTC,EmailAddressEN,EmailAddressTC,WebsiteEN,WebsiteTC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing,GeometryLongitude,GeometryLatitude
43,"Parks, Zoos and Gardens",公園及動植物公園,Mei Tin Road Sitting-out Area,"Mei Tin Road, Tai Wai",美田路休憩處,大圍美田路,SHA TIN,沙田,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2634 0147,2634 0147,,,,,,,826443.14960487,836011.31813395,22.3771877,114.174382,2022-01-31T12:18:56,836011.3180999998,826443.1495999992,114.174382,22.3771877
44,"Parks, Zoos and Gardens",公園及動植物公園,Bowen Road Park,"Bowen Road, Wan Chai",寶雲道公園,灣仔寶雲道,WAN CHAI,灣仔,"DOG GARDENS/PET GARDENS,INCLUSIVE PARK FOR PETS,PARK","狗公園/寵物公園,寵物共享公園,公園","Park bench, Dog Excreta Collection Bin","公園座椅, 狗糞收集箱",24 hours daily,每日24小時開放,2879 5612,2879 5612,N.A.,N.A.,N.A.,N.A.,,,814576.87613027,835720.90855057,22.27002819,114.1715662,2022-01-31T12:16:32,835720.9085999997,814576.8761,114.1715662,22.27002819
45,"Parks, Zoos and Gardens",公園及動植物公園,Bowen Road Garden,"Bowen Road, Wan Chai",寶雲道花園,灣仔寶雲道,WAN CHAI,灣仔,"DOG GARDENS/PET GARDENS,GARDEN,INCLUSIVE PARK FOR PETS","狗公園/寵物公園,花園,寵物共享公園","Park bench, Dog Excreta Collection Bin","公園座椅, 狗糞收集箱",24 hours daily,每日24小時開放,2879 5612,2879 5612,N.A.,N.A.,N.A.,N.A.,,,814869.64884103,835131.99288666,22.27267183,114.165852,2022-01-31T12:15:01,835131.9929,814869.6488000005,114.165852,22.27267183
46,"Parks, Zoos and Gardens",公園及動植物公園,Tsing Bik Sitting-out Area,"Tsing Bik Street, Tuen Mun",青碧休憩處,屯門青碧街,TUEN MUN,屯門,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2451 3110,2451 3110,,,,,,,826466.11843215,816030.46134041,22.37727587,113.9803686,2022-01-31T12:07:10,816030.4612999996,826466.1184,113.9803686,22.37727587
47,"Parks, Zoos and Gardens",公園及動植物公園,San On Sitting-out Area,"San On Street, Tuen Mun",新安休憩處,屯門新安街,TUEN MUN,屯門,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2451 3110,2451 3110,,,,,,,828208.64381134,815011.84836386,22.39299937,113.9704548,2022-01-31T11:58:27,815011.8483999996,828208.6437999997,113.9704548,22.39299937
48,"Parks, Zoos and Gardens",公園及動植物公園,Sheung Tsuen Park,"Kam Sheung Road, Yuen Long",上村公園,元朗錦上路,YUEN LONG,元朗,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2475 3445 / 2470 7137,2475 3445 / 2470 7137,,,,,,,832497.47769528,828625.40253429,22.43184428,114.102636,2022-01-31T11:56:56,828625.4024999999,832497.4777000006,114.102636,22.43184428
49,"Parks, Zoos and Gardens",公園及動植物公園,Hang Hau Garden,"Tin Chau Road, Hang Hau, Tseung Kwan O. N.T.",坑口花園,新界將軍澳坑口田洲路,SAI KUNG,西貢,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2791 3112,2791 3112,,,,,,,819518.70915817,845749.0884,22.31462998,114.2688944,2022-01-31T11:54:40,845749.0883999998,819518.7092000004,114.2688944,22.31462998
50,"Parks, Zoos and Gardens",公園及動植物公園,Hung Shing Street Rest Garden,"Wai Fung Street, Ap Lei Chau",洪聖街休憩花園,鴨?洲惠風街,SOUTHERN,南區,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2555 1268,2555 1268,,,,,,,811779.75862646,834144.09626006,22.24476715,114.1562707,2022-01-31T11:46:45,834144.0963000003,811779.7586000003,114.1562707,22.24476715
51,"Parks, Zoos and Gardens",公園及動植物公園,Wing Hong Street Rest Garden,Wing Hong Street,永康街休憩花園,永康街,SHAM SHUI PO,深水?,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2370 9193,2370 9193,,,,,,,822349.86502614,833637.99952979,22.3402211,114.1513439,2022-01-31T11:43:42,833637.9994999999,822349.8650000002,114.1513439,22.3402211
52,"Parks, Zoos and Gardens",公園及動植物公園,Lung Cheung Road Lookout,Lung Cheung Road,龍翔道眺望處,龍翔道,SHAM SHUI PO,深水?,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2370 9954,2370 9954,,,,,,,822640.684,835706.57660777,22.34284928,114.1714243,2022-01-31T11:42:14,835706.5766000003,822640.6840000004,114.1714243,22.34284928
53,"Parks, Zoos and Gardens",公園及動植物公園,Pier 3 Garden,"Roof, Central Pier No. 3,Man Kwong Street, Central",三號碼頭花園,中環民光街3號碼頭天台,CENTRAL AND WESTERN,中西區,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2853 2573,2853 2573,,,,,,,816565.73177638,834269.20217743,22.28798776,114.1574784,2022-01-31T11:26:32,834269.2022000002,816565.7317999993,114.1574784,22.28798776
54,"Parks, Zoos and Gardens",公園及動植物公園,Pier 2 Garden,"Roof, Central Pier No. 2, Man Kwong Street, Central",二號碼頭花園,中環民光街2號碼頭天台,CENTRAL AND WESTERN,中西區,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2853 2573,2853 2573,,,,,,,816590.81267627,834174.25305638,22.28821414,114.156557,2022-01-31T11:25:15,834174.2531000003,816590.8126999997,114.156557,22.28821414
55,"Parks, Zoos and Gardens",公園及動植物公園,Central Pier Waterfront,"Man Kwong Street, Central",中環碼頭海濱長廊,中環民光街,CENTRAL AND WESTERN,中西區,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2853 2573,2853 2573,,,,,,,816493.47489808,834422.67339829,22.28733541,114.1589678,2022-01-31T11:19:58,834422.6733999997,816493.4748999998,114.1589678,22.28733541
56,"Parks, Zoos and Gardens",公園及動植物公園,Wing Lee Street Rest Garden,"Wing Lee Street, Sheung Wan",永利街休憩花園,上環永利街,CENTRAL AND WESTERN,中西區,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2853 2605,2853 2605,,,,,,,816041.42153549,833514.38652312,22.28325187,114.1501547,2022-01-31T11:14:46,833514.3865,816041.4214999992,114.1501547,22.28325187
57,"Parks, Zoos and Gardens",公園及動植物公園,Central & Western District Promenade-Sheung Wan Section,"Chung Kong Road, Sheung Wan",中西區海濱長廊-上環段,上環中港道,CENTRAL AND WESTERN,中西區,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2540 9704,2540 9704,,,,,,,816705.46821872,833472.58502327,22.28924856,114.149748,2022-01-31T11:11:07,833472.585,816705.4682,114.149748,22.28924856
58,"Parks, Zoos and Gardens",公園及動植物公園,Tin Ping Road Garden,"Tin Ping Road, Sheung Shui, N.T.",天平路花園,上水天平路,NORTH,北區,INCLUSIVE PARK FOR PETS,寵物共享公園,"Pavilion, Arbour, Park bench, Dog excreta collection bin, Hand-washing facilities",涼亭、陰棚、公園座椅、狗糞收集箱、洗手設施,24 HOURS DAILY,每日24小時開放,2679 2826,2679 2826,,,,,,,841075.14546312,831114.98043211,22.50931355,114.1267913,2022-01-31T11:06:06,831114.9803999998,841075.1455000006,114.1267913,22.50931355
59,"Parks, Zoos and Gardens",公園及動植物公園,Kai Tak Avenue Park,"16 Muk On Street, Kowloon City",啟德大道公園,九龍城沐安街16號,KOWLOON CITY,九龍城,"BASKETBALL COURTS,CHILDREN’S PLAY AREA,FITNESS EQUIPMENT","籃球場,兒童遊樂場,健體園灺","Basketball Courts, Toilets are provided in the Park, Other facilities include a children's playground and 6 fitness corners, Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan","籃球場, 公園內設有洗手間, 其他設施包括1個兒童遊樂場和6個健身園地, <br/>無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖。",N.A.,N.A.,2706 5813,2706 5813,2706 5466,2706 5466,N.A.,N.A.,,,821195.6272,838790.02918907,22.32979782,114.2013549,2022-01-31T10:01:40,838790.0291999998,821195.6272,114.2013549,22.32979782
60,"Parks, Zoos and Gardens",公園及動植物公園,Wan Chai Gap Park,"Stubbs Road , Wan Chai",灣仔峽公園,灣仔司徒拔道,WAN CHAI,灣仔,"DOG GARDENS/PET GARDENS,INCLUSIVE PARK FOR PETS,PARK","狗公園/寵物公園,寵物共享公園,公園","Park bench, Dog Excreta Collection Bin","公園座椅, 狗糞收集箱",24 hours daily,每日24小時開放,2879 5612,2879 5612,N.A.,N.A.,N.A.,N.A.,,,814252.61592434,835493.98612284,22.26709982,114.1693646,2022-01-28T09:39:54,835493.9861000003,814252.6159000006,114.1693646,22.26709982
61,"Parks, Zoos and Gardens",公園及動植物公園,Sai Kung Waterfront Park,"Wai Man Road, Sai Kung",西貢海濱公園,西貢惠民路,SAI KUNG,西貢,"INCLUSIVE PARK FOR PETS,PLAY EQUIPMENT FOR ALL CHILDREN","寵物共享公園,共融遊樂設施",Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2791 0158,2791 0158,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,827041.1,846336.7000000001,22.38255826,114.2746449,2022-01-21T15:38:35,846336.7000000002,827041.0999999996,114.2746449,22.38255826
62,"Parks, Zoos and Gardens",公園及動植物公園,Tai Tsoi Yuen Garden,"Tai Tsoi Yuen Road, Cheung Chau",大菜園花園,長洲大菜園路,ISLANDS,離島,GATEBALL COURTS,門球場,,,"2 pm to 6 pm
Turf maintenance on every Thursday","下午2時至6時
逢星期四草地保養",2852 3220,2852 3220,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,807386.9,821039.6,22.20503122,114.0291881,2022-01-20T09:41:25,821039.5999999996,807386.9000000004,114.0291881,22.20503122
63,"Parks, Zoos and Gardens",公園及動植物公園,Tai Tau Leng Sitting-out Area,"Tai Tau Leng Village, Po Shek Wu Road, Sheung Shui, N.T.",大頭嶺休憩處,新界上水寶石湖路大頭嶺村,NORTH,北區,"BADMINTON COURTS,CHILDREN’S PLAY AREA","羽毛球場,兒童遊樂場",,,24 hours daily,全日開放,2679 2818,2679 2818,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,840075.7000000001,830754.5,22.50028734,114.1232912,2022-01-20T09:41:24,830754.5,840075.6999999993,114.1232912,22.50028734
64,"Parks, Zoos and Gardens",公園及動植物公園,Yat Ming Road Park,Junction of Yat Ming Road and Pak Wo Road,一鳴路公園,粉嶺一鳴路與百和路交界,FANLING,粉嶺,"DOG GARDENS/PET GARDENS,FITNESS EQUIPMENT,JOGGING TRACKS/FITNESS TRAILS,PLAY EQUIPMENT FOR ALL CHILDREN,CHILDREN’S PLAY AREA","狗公園/寵物公園,健體園灺,緩跑徑/健身徑,共融遊樂設施,兒童遊樂場","The venue provides drinking fountains, arbours and sitting benches, children's play equipment, pet garden, elderly fitness equipment, fitness equipment, jogging tracks, toilet, toilet for person with disability, lawn, Tai Chi area","場內設有飲水機,蔭棚及坐椅,兒童遊樂設施,狗公園/寵物公園 ,長者健身設施,健身設施,緩跑徑,洗手間,暢通易達洗手間,大草地,太極場",6 am to 11 pm daily,每日早上六時至晚上十一時,2679 2818,2679 2818,2671 5410,2671 5410,mppn2@lcsd.gov.hk,mppn2@lcsd.gov.hk,N.A.,N.A.,838445.23395872,832974.84859302,22.48556901,114.1448732,2022-01-11T11:45:21,832974.8486000001,838445.2339999992,114.1448732,22.48556901
65,"Parks, Zoos and Gardens",公園及動植物公園,East Coast Park (Phase 1),East Coast Park (Phase 1),東岸公園 (第一期),東岸公園 (第一期),WAN CHAI,灣仔,PARK,公園,"Dog Excreta Collection Bin, Arbours, Benches","狗糞收集箱, 涼亭, 坐椅",24 HOURS DAILY,每日24小時開放,2879 5612,2879 5612,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816559.16296928,837536.58655444,22.28792912,114.1891845,2021-10-05T11:17:21,837536.5866,816559.1630000006,114.1891845,22.28792912
66,"Parks, Zoos and Gardens",公園及動植物公園,Ma Wo Road Garden,"2 Ma Wo Road, Tai Po, New Territories",馬窩路花園,新界大埔馬窩路2號,TAI PO,大埔,PARK,公園,"2 Basketball cum volleyball courts, fitness corner, pebble walking trail, chess tables, men's and ladies' toilets and changing rooms , babycare room, universal toilet, Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan",2個籃球暨排球場、健身區、卵石路步行徑、棋?、男、女洗手間及更衣室、 育嬰室、通用洗手間、 無障礙設施： 暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖,7 A.M. to 11 P.M. daily,每日上午7時至晚上11時,3183 9050,3183 9050,2651 0315,2651 0315,mpptp2@lcsd.gov.hk,mpptp2@lcsd.gov.hk,N.A.,N.A.,833702,835103,22.44273833,114.165557,2021-06-22T15:16:35,835103,833702,114.165557,22.44273833
67,"Parks, Zoos and Gardens",公園及動植物公園,On Sau Road Park,"On Sau Road, Kwun Tong",安秀道公園,觀塘安秀道,KWUN TONG,觀塘,"FITNESS EQUIPMENT,JOGGING TRACKS/FITNESS TRAILS","健體園灺,緩跑徑/健身徑","8 Fitness Stations. Toilets and changing rooms with lockers are provided in the Park. (including accessible toilets). Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan",8 個健身設施. 公園內設有男 / 女洗手間、更衣室及貯物櫃. 無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖,24 hr,24 hr,2553 5532,2553 5532,2553 5564,2553 5564,N.A.,N.A.,N.A.,N.A.,820442.01375418,841951.02244258,22.3229847,114.232035,2021-03-26T14:23:11,841951.0224000001,820442.0138000008,114.232035,22.3229847
68,"Parks, Zoos and Gardens",公園及動植物公園,Ki Lun Kong Public Park,"Opposite to Sam Shing Estate, Castle Peak Road, Tuen Mun",麒麟崗公眾公園,屯門青山公路三聖?對面,TUEN MUN,屯門,DOG GARDENS/PET GARDENS,狗公園/寵物公園,Dog excreta collection bin,狗糞收集箱,24 hours daily,每日24小時開放,2451 3105,2451 3105,2459 2175,2459 2175,N.A.,N.A.,N.A.,N.A.,827035.81315859,815854.74574996,22.3824184,113.9786551,2021-02-09T11:06:53,815854.7456999999,827035.8132000007,113.9786551,22.3824184
69,"Parks, Zoos and Gardens",公園及動植物公園,Tong Yam Street Hillside Sitting-out Area,"Tong Yam Street, Shek Kip Mei",棠蔭街山邊休憩處,石硤尾棠蔭街,SHAM SHUI PO,深水?,"DOG GARDENS/PET GARDENS,SITTING-OUT AREA","狗公園/寵物公園,休憩處","Wash basin, two nos. of dog excreta collection bin","洗手盆, 兩個狗糞收集箱",24 hours daily,每日24小時開放,2370 9954,2370 9954,2370 9954,2370 9954,N.A.,N.A.,N.A.,N.A.,821041,835545,22.32840315,114.1698565,2020-11-20T09:32:00,835545,821041,114.1698565,22.32840315
70,"Parks, Zoos and Gardens",公園及動植物公園,San Wan Road Sitting-out Area,"San Wan Road, Fanling",新運路休憩處,新界粉嶺新運路,NORTH,北區,"FITNESS EQUIPMENT,SITTING-OUT AREA","健體園灺,休憩處",Elderly Fitness Corner,長者健身園地,24 Hours Daily,全日24小時開放,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,839510.27645831,832103.88448557,22.49518487,114.1364068,2020-03-13T15:41:17,832103.8844999997,839510.2764999997,114.1364068,22.49518487
71,"Parks, Zoos and Gardens",公園及動植物公園,Wan Chai Gap Park,"Coombe Road, Mid-Levels, Wan Chai, HK",灣仔峽公園,香港灣仔半山區甘道,WAN CHAI,灣仔,"PLAY EQUIPMENT FOR ALL CHILDREN,FITNESS EQUIPMENT,LIGHT REFRESHMENT KIOSK","共融遊樂設施,健體園灺,小食亭","Children’s Play Equipment, Fitness Equipment for the Elderly, Light Refreshment Kiosk, Toilets","兒童遊樂設施, 長者健體園地, 小食亭, 洗手間",24 Hours,全日24 小時,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,814244.50833211,835480.19688979,22.2670266,114.1692308,2019-12-04T15:27:02,835480.1968999999,814244.5083000008,114.1692308,22.2670266
72,"Parks, Zoos and Gardens",公園及動植物公園,On Muk Street Garden,"On Muk Street, Sha Tin",安睦街花園,沙田安睦街,SHA TIN,沙田,PARK,公園,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,827795.75222603,839176.28309779,22.38939996,114.2051162,2019-10-18T11:36:13,839176.2830999997,827795.7522,114.2051162,22.38939996
73,"Parks, Zoos and Gardens",公園及動植物公園,Gloucester Road Garden,"Gloucester Road, Wan Chai",告士打道花園,灣仔告士打道,WAN CHAI,灣仔,PARK,公園,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815656.78701907,835807.79781295,22.27978051,114.1724089,2019-10-18T11:35:55,835807.7977999998,815656.7870000005,114.1724089,22.27978051
74,"Parks, Zoos and Gardens",公園及動植物公園,Ap Lei Chau Wind Tower Park,"Lei Chi Road, Ap Lei Chau, Hong Kong",鴨?洲風之塔公園,香港鴨?洲利枝道,SOUTHERN,南區,"AMPHITHEATRE,PARK","露天劇場,公園",N.A.,N.A.,Exhibition Gallery: 9:00am - 9:00pm daily<br/>Other park area: 24 hours daily,展覽館: 每日早上9時至晚上9時<br/>其他公園範圍: 每日24小時,2555 0103,2555 0103,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,811762.6,833802.6,22.24461204,114.152958,2019-10-18T11:23:35,833802.5999999996,811762.5999999996,114.152958,22.24461204
75,"Parks, Zoos and Gardens",公園及動植物公園,Kwong Fuk Sitting-out Area,"Kwong Wang Street, Tai Po",廣福休憩處,大埔廣宏街,TAI PO,大埔,SITTING-OUT AREA,休憩處,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,834174,835940,22.44700107,114.1736879,2019-01-29T14:18:17,835940,834174,114.1736879,22.44700107
76,"Parks, Zoos and Gardens",公園及動植物公園,Wong Nai Chung Road Crescent Garden,"Wong Nai Chung Road, Happy Valley, Hong Kong",黃泥涌道新月花園,香港跑馬地黃泥涌道,WAN CHAI,灣仔,PARK,公園,"- 1 set of Play Equipment for Toddlers of Age 2-5 (including climbing frame, swings and play panels). <br/>- 1 set of Play Equipment for Children of Age 5-12 (including climbing frame, slides, play panels, sway boat and climbing wall).",- 1套適合2-5歲兒童使用的組件（包括：攀爬架、鞦韆、遊戲板)<br/>- 1套適合5-12歲兒童使用的組件（包括：攀爬架、滑梯、遊戲板、搖搖船、攀爬牆）,N.A.,N.A.,2895 1523,2895 1523,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,814596.9,837031.8,22.27020923,114.1842852,2018-12-03T14:44:22,837031.7999999998,814596.9000000004,114.1842852,22.27020923
77,"Parks, Zoos and Gardens",公園及動植物公園,Ngau Tau Kok Park,"199 Kwun Tong Road, Kowloon",牛頭角公園,九龍觀塘道199號,KWUN TONG,觀塘,"JOGGING TRACKS/FITNESS TRAILS,HARD-SURFACE PITCHES","緩跑徑/健身徑,硬地球場","7-a-side Soccer Pitches (Free Outdoor Pitches/Courts)
Jogging Tracks / Fitness Trails","七人足球場 (戶外免費球場)
緩跑徑 / 健身徑","7 am to 11 pm (Soccer)
24 hours daily (Jogging Tracks)","上午7時至晚上11時 (Soccer)
每日24小時開放 (Jogging Tracks)",2343 6123,2343 6123,N.A.,N.A.,N.A.,N.A.,"http://www.lcsd.gov.hk/en/facilities/facilitieslist/facilities.php?ftid=3&did=6&fcid=8 (Soccer)
http://www.lcsd.gov.hk/en/facilities/facilitieslist/facilities.php?ftid=26&did=6 (Jogging Tracks)","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/facilities.php?ftid=3&did=6&fcid=8 (Soccer)
http://www.lcsd.gov.hk/tc/facilities/facilitieslist/facilities.php?ftid=26&did=6 (Jogging Tracks)",820441.4,840197.6,22.32298436,114.2150159,2017-03-02T12:32:48,840197.5999999996,820441.4000000004,114.2150159,22.32298436
78,"Parks, Zoos and Gardens",公園及動植物公園,Oaklands Avenue Sitting-out Area,"Oaklands Avenue, Mid-level",屋蘭士街休憩處,半山屋蘭士街,CENTRAL AND WESTERN,中西區,DOG GARDENS/PET GARDENS,狗公園/寵物公園,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.lcsd.gov.hk/en/facilities/facilitieslist/facilities.php?ftid=47&did=1,http://www.lcsd.gov.hk/tc/facilities/facilitieslist/facilities.php?ftid=47&did=1,816006,832836.6,22.28293107,114.1435779,2016-07-14T11:38:10,832836.5999999996,816006,114.1435779,22.28293107
79,"Parks, Zoos and Gardens",公園及動植物公園,Wan Po Road Pet Garden,"Wan Po Road, Tseung Kwan O, Sai Kung",環保大道寵物公園,西貢將軍澳環保大道,SAI KUNG,西貢,DOG GARDENS/PET GARDENS,狗公園/寵物公園,"Amenity Lawn for pets, Drink fountain for dogs, Dog’s latrine, Garden benches, Toilet","休憩草坪, 狗隻飲水器, 狗廁所, 公園座椅, 洗手間",7:00 am to 9:00 pm daily,每日上午七時至下午九時,2791 3100,2791 3100,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818455.3,845745.7000000001,22.30502708,114.2688552,2016-06-14T16:54:20,845745.7000000002,818455.3000000007,114.2688552,22.30502708
80,"Parks, Zoos and Gardens",公園及動植物公園,Po Lam Sitting-Out Area,"Po Lam Road North, Tseung Kwan O, Sai Kung",寶琳休憩處,西貢將軍澳寶琳北路,SAI KUNG,西貢,"SITTING-OUT AREA,DOG GARDENS/PET GARDENS","休憩處,狗公園/寵物公園",Sitting-Out Area/Pet Garden,休憩處/寵物公園,24 hours,全日開放,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820914,844214.5,22.32723834,114.2540071,2016-05-04T12:27:51,844214.5,820914,114.2540071,22.32723834
81,"Parks, Zoos and Gardens",公園及動植物公園,San Ha Street Playground,San Ha Street,新廈街遊樂場,新廈街,EASTERN,東區,PARK,公園,N.A.,N.A.,N.A.,N.A.,2564 2539,2564 2539,2590 6926,2590 6926,N.A.,N.A.,N.A.,N.A.,813948.3,843265.3,22.26433791,114.2447633,2015-06-03T14:38:24,843265.2999999998,813948.3000000007,114.2447633,22.26433791
82,"Parks, Zoos and Gardens",公園及動植物公園,Po Kong Village Road / Shung Wah Street Sitting-out Area,J/O Po Kong Village Road / Shung Wah Street,蒲崗村道 / 崇華街休憩處,蒲崗村道 / 崇華街交界,WONG TAI SIN,黃大仙,DOG GARDENS/PET GARDENS,狗公園/寵物公園,"Pet Corner, Arbours with benches, Pets’ play equipment
Drinking fountain",寵物角、蔭棚連坐椅、寵物遊戲設施、 飲水器,24 hours daily,每日24小時開放,2351 7535,2351 7535,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822975.4,838608,22.34587074,114.1995906,2015-05-13T14:30:36,838608,822975.4000000004,114.1995906,22.34587074
83,"Parks, Zoos and Gardens",公園及動植物公園,Tin Yip Road Park,"Tin Yip Road, Tin Shui Wai",天業路公園,新界天水圍天業路,YUEN LONG,元朗,"PARK,GRASS PITCHES","公園,草地球場","11-A-Side Soccer Pitches, Toilet
Changing Room, Accessible Toilet, Babycare Room","十一人足球場,洗手間
更衣室, 暢通易達洗手間, 育嬰間",8:00am to 11:00pm daily,每日上午8時至晚上11時,2682 3197,2682 3197,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,835981.4,818830.2000000001,22.46323409,114.0074497,2015-05-13T12:30:22,818830.2000000002,835981.4000000004,114.0074497,22.46323409
84,"Parks, Zoos and Gardens",公園及動植物公園,Jordan Valley Park,"No.71, New Clear Water Bay Road",佐敦谷公園,觀塘新清水灣道71號,KWUN TONG,觀塘,"PARK,MODEL CAR PLAY AREA,JOGGING TRACKS/FITNESS TRAILS","公園,模型車場,緩跑徑/健身徑","4 Jogging Tracks with 1,115m length and Fitness Stations","4條全長1,115米設有健身站的緩跑徑",N.A.,,2342 2241,2342 2241,N.A.,N.A.,N.A.,N.A.,,,821201,840897,22.32984225,114.2218066,2015-05-13T11:14:59,840897,821201,114.2218066,22.32984225
85,"Parks, Zoos and Gardens",公園及動植物公園,Wai Lok Street Temporary Soccer Pitch,"Wai Yip Street and Wai Lok Street junction, Kwun Tong, Kowloon (near Laguna Park)",偉樂街臨時足球場,九龍觀塘偉業街與偉樂街交界(近麗港公園),KWUN TONG,觀塘,GRASS PITCHES,草地球場,"7-A-Side Soccer Pitches, Changing facilities（showering facilities are not provided）, Portable toilets","7人足球場, 更衣室（不設淋浴設施）, 流動廁所",8 am to 6 pm daily (except Monday),每日上午8時至下午6時（星期一除外）,2343 6123 / 2717 5705,2343 6123 / 2717 5705,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818336.3,841333.7000000001,22.30397107,114.2260365,2015-05-13T11:07:28,841333.7000000002,818336.3000000007,114.2260365,22.30397107
86,"Parks, Zoos and Gardens",公園及動植物公園,Tai Ping Village Playground,"Po Lo Che Road, Sai Kung",太平村遊樂場,西貢菠蘿輋路,SAI KUNG,西貢,BASKETBALL COURTS,籃球場,1 basketball court,1個籃球場,7am – 6pm,上午7時至晚上6時,2791 3100,2791 3100,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,826823.9,845051.1,22.38060389,114.2621601,2015-05-12T10:18:18,845051.0999999996,826823.9000000004,114.2621601,22.38060389
87,"Parks, Zoos and Gardens",公園及動植物公園,Ma On Shan Promenade,"Ning Tai Road, Ma On Shan",馬鞍山海濱長廊,馬鞍山寧泰路,SHA TIN,沙田,PARK,公園,"Male and Female Toilet, Toilet for persons with disabilities, Fitness Station","男、女洗手間, 殘疾人士洗手間, 健體站",24 Hours,全日開放,2643 5320,2643 5320,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,829948,840750.5,22.40883274,114.2204092,2014-09-17T14:58:42,840750.5,829948,114.2204092,22.40883274
